Sample	Eukaryotic_taxonomy	Bacterial_taxonomy	Count
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	140
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Cryptomonas(1.00),f:Cryptomonas paramecium(0.93)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	78
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Saccharospirillaceae(1.00),g:Saccharospirillum(1.00),s:Saccharospirillum sp. XCD-X5(0.99)	52
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(1.00),s:Ochromonas(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	42
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Methylophilaceae(1.00),g:Methylotenera(1.00),s:uncultured bacterium(1.00)	37
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.95),g:Fungi(0.95),s:Dikarya(0.95)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	28
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Cryptomonas(1.00),f:Cryptomonas paramecium(0.93)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Saccharospirillaceae(1.00),g:Saccharospirillum(1.00),s:Saccharospirillum sp. XCD-X5(0.99)	28
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Cyanobacteria(1.00),c:Cyanobacteriia(1.00),o:Chloroplast(1.00),f:Rhodomonas salina(0.90)	20
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Cryomorphaceae(1.00),g:Owenweeksia(1.00),s:uncultured Owenweeksia sp.(0.71)	18
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.95),g:Fungi(0.95),s:Dikarya(0.95)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Saccharospirillaceae(1.00),g:Saccharospirillum(1.00),s:Saccharospirillum sp. XCD-X5(0.99)	14
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Cryptomonas(1.00),f:Cryptomonas paramecium(0.93)	k:Bacteria(1.00),p:Cyanobacteria(1.00),c:Cyanobacteriia(1.00),o:Chloroplast(1.00),f:Rhodomonas salina(0.90)	14
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(1.00),s:Ochromonas(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Saccharospirillaceae(1.00),g:Saccharospirillum(1.00),s:Saccharospirillum sp. XCD-X5(0.99)	14
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Cryptomonas(1.00),f:Cryptomonas paramecium(0.93)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Methylophilaceae(1.00),g:Methylotenera(1.00),s:uncultured bacterium(1.00)	12
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.99),f:Spongiibacteraceae(0.99),g:Litorivivens(0.99),s:Litorivivens aequoris(0.99)	12
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Cytophagales(1.00),f:Cyclobacteriaceae(1.00),g:Fabibacter(0.90),s:uncultured bacterium(0.33)	11
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:uncultured(0.92),s:uncultured bacterium(0.67)	11
BiolstdM100XDilBC10e4fluo	k:Eukaryota(1.00),p:Cryptophyceae(0.69),c:Cryptomonadales(0.69),o:Cryptomonas(0.37),f:Cryptomonas ovata(0.11)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	10
